time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
35.81483793258667,-3,-2,-4,-4,-7,-4,-2,-3,1
35.82139277458191,0,0,-1,-3,-2,-3,-4,0,1
35.82139730453491,-4,-1,2,7,5,0,1,-2,1
35.836989402770996,-1,-1,-6,-11,-8,-1,0,-2,1
35.83699560165405,1,-1,0,-2,0,0,-1,-1,1
35.83786368370056,-2,2,2,5,3,1,-1,-1,1
35.83786749839783,-2,-1,-3,-7,-8,-4,-3,-1,1
35.85283184051514,1,0,4,7,5,0,-2,-5,1
35.85283637046814,-3,-5,-9,-13,-8,-4,-2,-4,1
35.85871958732605,-1,-2,1,-1,0,0,-1,1,1
35.858723402023315,-1,1,1,2,-1,0,-1,0,1
35.87423777580261,-1,1,2,3,1,-4,-6,-3,1
35.874245405197144,0,-1,-1,0,4,3,4,1,1
35.88170766830444,0,-2,-2,-2,-4,-1,-1,1,1
35.88171315193176,2,2,1,1,0,1,0,0,1
35.89729857444763,1,0,-3,1,2,0,3,2,1
35.89730501174927,-2,-1,-1,0,-1,-3,-1,2,1
35.89839458465576,1,0,0,-2,0,-1,2,-1,1
35.89839816093445,1,0,2,5,7,1,1,-1,1
35.91965198516846,-1,-2,-1,-5,-4,0,3,-1,1
35.91965627670288,-8,-8,-7,-7,-7,-2,-7,-7,1
35.92064380645752,4,6,4,6,1,-3,-4,3,1
35.92064666748047,1,1,2,6,5,1,2,2,1
35.93404722213745,-3,-4,-7,-9,-4,-1,-6,-5,1
35.934051752090454,-2,-1,-1,-1,2,1,6,2,1
35.94181442260742,0,-3,0,2,-1,-4,-1,-5,1
35.94181990623474,-1,-3,-3,-6,-4,-3,-3,-2,1
35.9571578502655,0,1,1,4,7,5,4,4,1
35.95716333389282,3,2,5,6,3,1,3,1,1
35.95840501785278,-2,-2,-9,-13,-9,-2,-5,-3,1
35.958409547805786,1,-2,1,0,-1,-2,-1,1,1
35.980297327041626,0,-2,-3,-5,-4,-1,1,0,1
35.98030495643616,4,4,3,4,3,3,-4,-2,1
35.98203420639038,-2,-1,0,2,3,-1,-1,2,1
35.98204302787781,-1,-2,-6,-5,-2,0,0,-1,1
35.9947714805603,-2,-2,-1,-1,-3,-1,-2,-1,1
35.99478220939636,3,4,2,4,4,0,0,0,1
36.001819133758545,-2,-3,-5,-6,-6,0,-1,-4,1
36.001832008361816,0,2,3,7,3,-1,-1,0,1
36.01729774475098,-4,-7,-9,-20,-15,-6,-6,-6,1
36.01730251312256,-3,-2,-1,1,-2,-1,0,-1,1
36.01830053329468,1,0,2,2,3,1,1,1,1
36.01830434799194,0,2,-1,1,0,-1,-3,-1,1
36.03409504890442,2,2,2,3,-2,-2,4,0,1
36.03410029411316,-3,-3,-5,-7,-6,-5,-8,-5,1
36.03888535499573,-2,-2,-1,-1,0,2,3,2,1
36.03888916969299,2,3,1,4,5,4,4,1,1
36.054203271865845,6,4,3,6,3,2,2,5,1
36.05420970916748,-3,-2,-6,-8,-10,-4,-4,-1,1
36.0617470741272,-2,-4,-5,-4,1,1,2,-4,1
36.061753273010254,2,0,2,2,6,3,3,3,1
36.077141523361206,-2,0,2,8,4,0,1,-1,1
36.077147483825684,3,0,1,-2,-2,0,1,1,1
36.08522057533264,-2,-1,1,5,4,0,-2,-8,1
36.08522844314575,-4,-5,-6,-10,-10,-5,-4,-4,1
36.099703311920166,-3,-1,-2,-1,2,1,1,-4,1
36.099709033966064,0,3,3,4,3,2,4,0,1
36.100804567337036,3,1,5,7,6,3,6,5,1
36.10080814361572,-3,-3,-4,-4,-4,0,-1,-6,1
36.1140923500061,-7,-5,-7,-10,-7,-3,-7,-5,1
36.114098072052,3,0,-1,0,1,4,1,4,1
36.12204432487488,0,-1,0,0,-1,-1,1,-1,1
36.12205100059509,0,1,0,0,1,0,-1,0,1
36.13654398918152,1,1,1,6,4,2,4,3,1
36.13654947280884,2,-1,-2,-1,-2,-2,0,1,1
36.144418239593506,-2,-2,-4,-2,-5,-2,-2,0,1
36.14442467689514,-1,-2,-2,-3,-5,-6,-4,1,1
36.15968608856201,0,0,2,5,6,2,2,0,1
36.15969276428223,2,0,0,3,2,-2,-2,-3,1
36.16070747375488,-6,-2,-6,-10,-8,-4,-6,-1,1
36.160712480545044,2,1,1,2,1,1,0,-1,1
36.17401909828186,2,-1,-2,-2,-5,0,2,1,1
36.174023151397705,-2,-1,2,6,4,-1,-3,-3,1
36.18270778656006,-3,-5,-5,-9,-7,-2,1,-1,1
36.1827118396759,-4,-2,-4,-4,-2,-3,-10,-8,1
36.19665551185608,-2,-2,-4,-8,-6,-4,-3,-1,1
36.19666075706482,1,2,4,6,4,3,1,1,1
36.20415687561035,6,3,2,2,1,1,2,3,1
36.20416212081909,-1,-3,-3,-1,-2,2,0,0,1
36.22025942802429,-2,-3,-1,-2,-1,-2,-6,-1,1
36.22026777267456,-2,-2,-2,-5,-4,-3,-2,-3,1
